exam_category,exam_type,quiz_id,en_quiz_title,most_vote,correct,en_A,en_B,en_C,en_D,en_E,en_F,ko_quiz_title,ko_A,ko_B,ko_C,ko_D,ko_E,subject,choice_count
udemy,CLF-01,87,Which of the following AWS services allows a database to have flexible schema and supports document data models?,C,C,Amazon Relational Database Service (Amazon RDS),Amazon Aurora,Amazon DynamoDB,Amazon Redshift,,,,,,,,,,
udemy,CLF-01,88,What is the primary benefit of deploying an Amazon RDS Multi-AZ database with one standby?,B,B,Amazon RDS Multi-AZ protects the database from a regional failure,Amazon RDS Multi-AZ enhances database availability,Amazon RDS Multi-AZ reduces database usage costs,Amazon RDS Multi-AZ improves database performance for read-heavy workloads,,,,,,,,,,
udemy,CLF-01,89,Which of the following AWS services are part of the AWS Foundation services for the Reliability pillar of the Well-Architected Framework in AWS Cloud? (Select two),AD,AD,AWS Trusted Advisor,Amazon CloudWatch,AWS CloudTrail,Service Quotas,AWS CloudFormation,,,,,,,,,
udemy,CLF-01,90,Which AWS service publishes up-to-the-minute information on the general status and availability of all AWS services in all the Regions of AWS Cloud?,A,A,AWS Health Dashboard - service health,AWS CloudFormation,Amazon CloudWatch,AWS Health Dashboard – Your account health,,,,,,,,,,
udemy,CLF-01,91,Which of the following AWS services are always free to use (Select two)?,AC,AC,AWS Identity and Access Management (AWS IAM),Amazon Elastic Compute Cloud (Amazon EC2),AWS Auto Scaling,Amazon DynamoDB,Amazon Simple Storage Service (Amazon S3),,,,,,,,,
udemy,CLF-01,92,Multi-AZ deployment is an example of which of the following?,C,C,Performance Efficiency,Scale out,High Availability,Scale up,,,,,,,,,,
udemy,CLF-01,93,"A fleet of Amazon EC2 instances spread across different Availability Zones (AZ) needs to access, edit and share file-based data stored centrally on a system. As a Cloud Practitioner, which AWS service would you recommend for this use-case?",C,C,EC2 Instance Store,Amazon Elastic Block Store (Amazon EBS),Amazon Elastic File System (Amazon EFS),Amazon Simple Storage Service (Amazon S3),,,,,,,,,,
udemy,CLF-01,94,The AWS Well-Architected Framework provides guidance on building cloud based applications using AWS best practices. Which of the following options are the pillars mentioned in the AWS Well-Architected Framework? (Select two),AB,AB,Reliability,Cost Optimization,Scalability,Elasticity,Availability,,,,,,,,,
udemy,CLF-01,95,A photo sharing web application wants to store thumbnails of user-uploaded images on Amazon Simple Storage Service (Amazon S3). The thumbnails are rarely used but need to be immediately accessible from the web application. The thumbnails can be regenerated easily if they are lost. Which is the most cost-effective way to store these thumbnails on Amazon Simple Storage Service (Amazon S3)?,D,D,Use Amazon S3 Standard-Infrequent Access (S3 Standard-IA) to store the thumbnails,Use Amazon S3 Standard to store the thumbnails,Use Amazon S3 Glacier Flexible Retrieval to store the thumbnails,Use Amazon S3 One Zone-Infrequent Access (S3 One Zone-IA) to store the thumbnails,,,,,,,,,,
udemy,CLF-01,96,"Which tool will help you review your workloads against current AWS best practices for cost optimization, security, and performance improvement and then obtain advice to architect them better?",D,D,Amazon Inspector,Amazon CloudWatch,AWS Cost Explorer,AWS Trusted Advisor,,,,,,,,,,
udemy,CLF-01,97,Which of the following statements are correct about the AWS root user account? (Select two),AC,AC,It is highly recommended to enable Multi-Factor Authentication (MFA) for root user account,"Root user account gets unrestricted permissions when the account is created, but these can be restricted using IAM policies",Root user access credentials are the email address and password used to create the AWS account,Root user account password cannot be changed once it is set,Root user credentials should only be shared with managers requiring administrative responsibilities to complete their jobs,,,,,,,,,
udemy,CLF-01,98,"According to the AWS Shared Responsibility Model, which of the following are responsibilities of the customer for Amazon RDS?",B,B,Managing the underlying server hardware on which Amazon Relational Database Service (Amazon RDS) runs,Database encryption,Applying patches to the Amazon Relational Database Service (Amazon RDS) database,Applying patches to the underlying OS,,,,,,,,,,
udemy,CLF-01,99,Which of the following statements are true about AWS Lambda? (Select two),CE,CE,AWS Lambda provides access to the underlying operating system to control its behavior through code,AWS Lambda allows you to orchestrate and manage Docker containers to facilitate complex containerized applications on AWS,AWS Lambda lets you run code without provisioning or managing servers,AWS Lambda allows you to install databases on the underlying serverless Operating System,You pay for the compute time you consume for AWS Lambda,,,,,,,,,
udemy,CLF-01,100,"A company's flagship application runs on a fleet of Amazon Elastic Compute Cloud (Amazon EC2) instances. As per the new policies, the system administrators are looking for the best way to provide secure shell access to Amazon Elastic Compute Cloud (Amazon EC2) instances without opening new ports or using public IP addresses.Which tool/service will help you achieve this requirement?",C,C,Amazon Inspector,Amazon Elastic Compute Cloud (Amazon EC2) Instance Connect,AWS Systems Manager Session Manager,Amazon Route 53,,,,,,,,,,
udemy,CLF-01,101,A company is using a message broker service on its on-premises application and wants to move this messaging functionality to AWS Cloud. Which of the following AWS services is the right choice to move the existing functionality easily?,C,C,Amazon Kinesis Data Streams,Amazon Simple Notification Service (Amazon SNS),Amazon MQ,Amazon Simple Queue Service (Amazon SQS),,,,,,,,,,
udemy,CLF-01,102,Access Key ID and Secret Access Key are tied to which of the following AWS Identity and Access Management (AWS IAM) entities?,D,D,IAM Role,IAM Policy,IAM User Group,IAM User,,,,,,,,,,
udemy,CLF-01,103,Which AWS service helps with global application availability and performance using the AWS global network?,A,A,AWS Global Accelerator,Amazon Route 53,Elastic Load Balancing (ELB),Amazon CloudFront,,,,,,,,,,
udemy,CLF-01,104,Which Amazon Route 53 routing policy would you use to improve the performance for your customers by routing the requests to the AWS endpoint that provides the fastest experience?,A,A,Latency-based routing,Simple routing,Failover routing,Weighted routing,,,,,,,,,,
udemy,CLF-01,105,Which of the following AWS services is essential for implementing security of resources in AWS Cloud?,A,A,AWS Identity and Access Management (IAM),Amazon CloudWatch,AWS Shield,AWS Web Application Firewall (AWS WAF),,,,,,,,,,
udemy,CLF-01,106,A gaming company is looking at a technology/service that can deliver a consistent low-latency gameplay to ensure a great user experience for end-users in various locations.Which AWS technology/service will provide the necessary low-latency access to the end-users?,A,A,AWS Local Zones,AWS Wavelength,AWS Edge Locations,AWS Direct Connect,,,,,,,,,,
udemy,CLF-01,107,What foundational capability under the operations perspective is part of the AWS Cloud Adoption Framework (AWS CAF)?,B,B,Application portfolio management,Performance and capacity management,Platfrom engineering,Vulnerability management,,,,,,,,,,
udemy,CLF-01,108,Which AWS service would you use to send alerts when the costs for your AWS account exceed your budgeted amount?,B,B,AWS Cost Explorer,AWS Budgets,AWS Pricing Calculator,AWS Organizations,,,,,,,,,,
udemy,CLF-01,109,"An IT company wants to run a log backup process every Monday at 2 AM. The usual runtime of the process is 5 minutes. As a Cloud Practitioner, which AWS services would you recommend to build a serverless solution for this use-case? (Select two)",AC,AC,Amazon CloudWatch,AWS Systems Manager,AWS Lambda,Amazon Elastic Compute Cloud (Amazon EC2),AWS Step Function,,,,,,,,,
udemy,CLF-01,110,Which AWS technology/service helps you to scale your resources to match supply with demand while still keeping your cloud solution cost-effective?,B,B,AWS Cost Explorer,AWS Auto Scaling,AWS OpsWorks,AWS CloudFormation,,,,,,,,,,
udemy,CLF-01,111,Which characteristic of Cloud Computing imparts the ability to acquire resources as you need and release when you no longer need them?,B,B,Resiliency,Elasticity,Reliability,Durability,,,,,,,,,,
udemy,CLF-01,112,"Due to regulatory and compliance reasons, an organization is supposed to use a hardware device for any data encryption operations in the cloud. Which AWS service can be used to meet this compliance requirement?",A,A,AWS CloudHSM,AWS Key Management Service (AWS KMS),AWS Secrets Manager,AWS Trusted Advisor,,,,,,,,,,
udemy,CLF-01,113,"As per the AWS Shared Responsibility Model, which of the following is a responsibility of the customer from a security and compliance point of view?",C,C,Availability Zone (AZ) infrastructure management,Patching/fixing flaws within the AWS infrastructure,Managing patches of the guest operating system on Amazon Elastic Compute Cloud (Amazon EC2),Configuration management for AWS global infrastructure,,,,,,,,,,
udemy,CLF-01,114,"Which AWS service should be used when you want to run container applications, but want to avoid the operational overhead of scaling, patching, securing, and managing servers?",D,D,Amazon Elastic Compute Cloud (Amazon EC2),AWS Lambda,Amazon Elastic Container Service (Amazon ECS) - EC2 launch type,Amazon Elastic Container Service (Amazon ECS) - Fargate launch type,,,,,,,,,,
udemy,CLF-01,115,"Which AWS service can be used to store, manage, and deploy Docker container images?",D,D,Amazon Elastic Compute Cloud (Amazon EC2),AWS Lambda,Amazon Elastic Container Service (Amazon ECS),Amazon Elastic Container Registry (Amazon ECR),,,,,,,,,,
udemy,CLF-01,116,Which AWS compute service provides the EASIEST way to access resizable compute capacity in the cloud with support for per-second billing and access to the underlying OS?,A,A,Amazon Elastic Compute Cloud (Amazon EC2),Amazon Lightsail,AWS Lambda,Amazon Elastic Container Service (Amazon ECS),,,,,,,,,,
udemy,CLF-01,117,Which of the following solutions can you use to connect your on-premises network with AWS Cloud (Select two)?,BC,BC,Internet Gateway,AWS Direct Connect,AWS Virtual Private Network (VPN),Amazon Route 53,Amazon Virtual Private Cloud (Amazon VPC),,,,,,,,,
udemy,CLF-01,118,Which of the following are examples of Horizontal Scalability (aka Elasticity)? (Select two),CE,CE,Modify an EC2 instance type from t2.nano to u-12tb1.metal,Modify a Database instance to higher CPU and RAM,Read Replicas in Amazon Relational Database Service (Amazon RDS),Add a bigger CPU to a computer,Elastic Load Balancing (ELB),,,,,,,,,
udemy,CLF-01,119,An e-commerce company wants to assess its applications deployed on Amazon Elastic Compute Cloud (Amazon EC2) instances for vulnerabilities and deviations from AWS best practices. Which AWS service can be used to facilitate this?,C,C,AWS CloudHSM,AWS Trusted Advisor,Amazon Inspector,AWS Secrets Manager,,,,,,,,,,
udemy,CLF-01,120,"A company wants a fully managed, flexible, and scalable file storage system, with low latency access, for its Windows-based applications. Which AWS service is the right choice for the company?",C,C,Amazon Elastic File System (Amazon EFS),Amazon FSx for Lustre,Amazon FSx for Windows File Server,Amazon Elastic Block Storage (Amazon EBS),,,,,,,,,,
udemy,CLF-01,121,Which of the following options can be used to access and manage all AWS services (Select three)?,ADE,ADE,AWS Command Line Interface (AWS CLI),Amazon API Gateway,AWS Systems Manager,AWS Management Console,AWS Software Development Kit (SDK),AWS Secrets Manager,,,,,,,,
udemy,CLF-01,122,Which of the following statements is INCORRECT about AWS Auto Scaling?,A,A,You can automatically deploy AWS Shield when a DDoS attack is detected,You can automatically remove unhealthy instances,You can automatically register new instances to a load balancer,You can scale out and add more Amazon Elastic Compute Cloud (Amazon EC2) instances to match an increase in demand as well as scale in and remove Amazon Elastic Compute Cloud (Amazon EC2) instances to match a reduced demand,,,,,,,,,,
udemy,CLF-01,123,Which of the following is the correct statement regarding the AWS Storage services?,C,C,"Amazon Simple Storage Service (Amazon S3) is block based storage, Amazon Elastic Block Store (Amazon EBS) is object based storage and Amazon Elastic File System (Amazon EFS) is file based storage","Amazon Simple Storage Service (Amazon S3) is object based storage, Amazon Elastic Block Store (Amazon EBS) is file based storage and Amazon Elastic File System (Amazon EFS) is block based storage","Amazon Simple Storage Service (Amazon S3) is object based storage, Amazon Elastic Block Store (Amazon EBS) is block based storage and Amazon Elastic File System (Amazon EFS) is file based storage","Amazon Simple Storage Service (Amazon S3) is file based storage, Amazon Elastic Block Store (Amazon EBS) is block based storage and Amazon Elastic File System (Amazon EFS) is object based storage",,,,,,,,,,
udemy,CLF-01,124,A customer has created a VPC and a subnet within AWS Cloud. Which of the following statements is correct?,C,C,A subnet spans all of the Availability Zones (AZ) in the Region whereas an Amazon Virtual Private Cloud (Amazon VPC) spans only one Availability Zone (AZ) in the Region,Both the Amazon Virtual Private Cloud (Amazon VPC) and the subnet span all of the Availability Zones (AZ) in the Region,An Amazon Virtual Private Cloud (Amazon VPC) spans all of the Availability Zones (AZ) in the Region whereas a subnet spans only one Availability Zone (AZ) in the Region,Both the Amazon Virtual Private Cloud (Amazon VPC) and the subnet span only one Availability Zone (AZ) in the Region,,,,,,,,,,
udemy,CLF-01,125,Which AWS service can be used to provision resources to run big data workloads on Hadoop clusters?,D,D,AWS Step Functions,AWS Batch,Amazon Elastic Compute Cloud (Amazon EC2),Amazon EMR,,,,,,,,,,
udemy,CLF-01,126,Which of the following AWS services can be used to prevent Distributed Denial-of-Service (DDoS) attack? (Select three),ACF,ACF,AWS Web Application Firewall (AWS WAF),AWS CloudHSM,AWS Shield,Amazon Inspector,AWS Trusted Advisor,Amazon CloudFront with Amazon Route 53,,,,,,,,
udemy,CLF-01,127,An online gaming company wants to block users from certain geographies from accessing its content. Which AWS service can be used to accomplish this task?,A,A,AWS Web Application Firewall (AWS WAF),AWS Shield,Security group,Amazon CloudWatch,,,,,,,,,,
udemy,CLF-01,128,Which AWS support plan provides access to a designated Technical Account Manager (TAM)?,A,A,AWS Enterprise Support,AWS Developer Support,AWS Business Support,AWS Enterprise On-Ramp Support,,,,,,,,,,
udemy,CLF-01,129,"The engineering team at an IT company wants to monitor the CPU utilization for its fleet of Amazon Elastic Compute Cloud (Amazon EC2) instances and send an email to the administrator if the utilization exceeds 80%. As a Cloud Practitioner, which AWS services would you recommend to build this solution? (Select two)",BC,BC,AWS CloudTrail,Amazon Simple Notification Service (SNS),Amazon CloudWatch,AWS Lambda,Amazon Simple Queue Service (SQS),,,,,,,,,
udemy,CLF-01,130,What are the different gateway types supported by AWS Storage Gateway service?,C,C,"Tape Gateway, File Gateway and Block Gateway","Object Gateway, File Gateway and Block Gateway","Tape Gateway, File Gateway and Volume Gateway","Tape Gateway, Object Gateway and Volume Gateway",,,,,,,,,,
udemy,CLF-01,131,Which budget types can be created under AWS Budgets (Select three)?,ABD,ABD,Usage budget,Reservation budget,Resource budget,Cost budget,Hardware budget,Software budget,,,,,,,,
udemy,CLF-01,132,"A startup wants to set up its IT infrastructure on AWS Cloud. The CTO would like to receive detailed reports that break down the startup's AWS costs by the hour in an Amazon Simple Storage Service (Amazon S3) bucket. As a Cloud Practitioner, which AWS service would you recommend for this use-case?",C,C,AWS Pricing Calculator,AWS Cost Explorer,AWS Cost & Usage Report (AWS CUR),AWS Budgets,,,,,,,,,,
udemy,CLF-01,133,What is the primary benefit of deploying an Amazon Relational Database Service (Amazon RDS) database in a Read Replica configuration?,D,D,Read Replica reduces database usage costs,Read Replica protects the database from a regional failure,Read Replica enhances database availability,Read Replica improves database scalability,,,,,,,,,,
udemy,CLF-01,134,Amazon CloudWatch billing metric data is stored in which AWS Region?,A,A,US East (N. Virginia) - us-east-1,In the AWS Region where the AWS resource is provisioned,In the AWS Region where the AWS account is created,US West (N. California) - us-west-1,,,,,,,,,,
udemy,CLF-01,135,Which AWS service can be used to execute code triggered by new files being uploaded to Amazon Simple Storage Service (Amazon S3)?,B,B,Amazon Elastic Container Service (Amazon ECS),AWS Lambda,Amazon Elastic Compute Cloud (Amazon EC2),Amazon Simple Queue Service (Amazon SQS),,,,,,,,,,
udemy,CLF-01,136,Which of the following are recommended best practices for AWS Identity and Access Management (AWS IAM) service? (Select two),CE,CE,Share AWS account root user access keys with other administrators,Grant maximum privileges to avoid assigning privileges again,Rotate credentials regularly,Create a minimum number of accounts and share these account credentials among employees,Enable multi-factor authentication (MFA) for all users,,,,,,,,,
udemy,CLF-01,137,"An organization maintains separate Amazon Virtual Private Clouds (Amazon VPC) for each of its departments. With expanding business, the organization now wants to connect all Amazon Virtual Private Clouds (Amazon VPC) for better departmental collaboration. Which AWS service will help the organization tackle the issue effectively?",A,A,AWS Transit Gateway,VPC peering connection,AWS Direct Connect,AWS Site-to-Site VPN,,,,,,,,,,
udemy,CLF-01,138,Which of the following statements are true about Cost Allocation Tags in AWS Billing? (Select two),BC,BC,"For each resource, each tag key must be unique, but can have multiple values","For each resource, each tag key must be unique, and each tag key can have only one value",You must activate both AWS generated tags and user-defined tags separately before they can appear in Cost Explorer or on a cost allocation report,Tags help in organizing resources and are a mandatory configuration item to run reports,Only user-defined tags need to be activated before they can appear in Cost Explorer or on a cost allocation report,,,,,,,,,
udemy,CLF-01,139,Which of the following Cloud Computing models does the 'gmail' service represent?,C,C,Function as a Service (FaaS),Platform as a Service (PaaS),Software as a Service (SaaS),Infrastructure as a Service (IaaS),,,,,,,,,,
udemy,CLF-01,140,AWS Trusted Advisor analyzes your AWS environment and provides best practice recommendations for which of the following categories? (Select two),CE,CE,Documentation,Change Management,Service Limits,Elasticity,Cost Optimization,,,,,,,,,
udemy,CLF-01,141,An IT company would like to move its IT resources (including any data and applications) from an AWS Region in the US to another AWS Region in Europe. Which of the following represents the correct solution for this use-case?,D,D,The company should use AWS CloudFormation to move the resources (including any data and applications) from source AWS Region to destination AWS Region,The company should use AWS Database Migration Service (AWS DMS) to move the resources (including any data and applications) from source AWS Region to destination AWS Region,The company should raise a ticket with AWS Support for this resource migration,The company should just start creating new resources in the destination AWS Region and then migrate the relevant data and applications into this new AWS Region,,,,,,,,,,
udemy,CLF-01,142,Which of the following capabilities does Amazon Rekognition provide as a ready-to-use feature?,A,A,Identify objects in a photo,Convert images into greyscale,Resize images quickly,Human pose detection,,,,,,,,,,
udemy,CLF-01,143,Which of the following are correct statements regarding the AWS Shared Responsibility Model? (Select two),AE,AE,AWS is responsible for Security 'of' the Cloud,Configuration Management is the responsibility of the customer,AWS is responsible for training AWS and customer employees on AWS products and services,"For a service like Amazon EC2, that falls under Infrastructure as a Service (IaaS), AWS is responsible for maintaining guest operating system","For abstracted services like Amazon S3, AWS operates the infrastructure layer, the operating system, and platforms",,,,,,,,,
udemy,CLF-01,144,Which AWS services support High Availability by default? (Select two),AD,AD,Amazon Elastic File System (Amazon EFS),Amazon Elastic Block Store (Amazon EBS),Instance Store,Amazon DynamoDB,Amazon Redshift,,,,,,,,,
udemy,CLF-01,145,Which AWS service can be used as an in-memory database with high-performance and low latency?,B,B,Amazon Athena,Amazon ElastiCache,Amazon DynamoDB,Amazon Relational Database Service (Amazon RDS),,,,,,,,,,
udemy,CLF-01,146,"Compared to the on-demand instance prices, what is the highest possible discount offered for reserved instances (RI)?",C,C,40,90,72,50,,,,,,,,,,
udemy,CLF-01,147,An IT company is on a cost-optimization spree and wants to identify all Amazon Elastic Compute Cloud (Amazon EC2) instances that are under-utilized. Which AWS services can be used off-the-shelf to address this use-case without needing any manual configurations? (Select two),BC,BC,Amazon CloudWatch,AWS Trusted Advisor,AWS Cost Explorer,AWS Cost & Usage Report (AWS CUR),AWS Budgets,,,,,,,,,
udemy,CLF-01,148,"An e-commerce company uses AWS Cloud and would like to receive separate invoices for development and production environments. As a Cloud Practioner, which of the following solutions would you recommend for this use-case?",A,A,Create separate AWS accounts for development and production environments to receive separate invoices,Use AWS Organizations to create separate invoices for development and production environments,Use AWS Cost Explorer to create separate invoices for development and production environments,Tag all resources in the AWS account as either development or production. Then use the tags to create separate invoices,,,,,,,,,,
udemy,CLF-01,149,Which AWS service will you use if you have to move large volumes of on-premises data to AWS Cloud from a remote location with limited bandwidth?,B,B,AWS Direct Connect,AWS Snowball,AWS Virtual Private Network (VPN),AWS Transit Gateway,,,,,,,,,,
udemy,CLF-01,150,Which of the following AWS entities provides the information required to launch an Amazon Elastic Compute Cloud (Amazon EC2) instance?,B,B,AWS Lambda,Amazon Machine Image (AMI),Amazon Elastic Block Store (Amazon EBS),Amazon Elastic File System (Amazon EFS),,,,,,,,,,
udemy,CLF-01,151,Which pillar of the AWS Well-Architected Framework recommends maintaining infrastructure as code (IaC)?,C,C,Security,Performance Efficiency,Operational Excellence,Cost Optimization,,,,,,,,,,
udemy,CLF-01,152,"A multi-national company has its business-critical data stored on a fleet of Amazon Elastic Compute Cloud (Amazon EC2) instances, in various countries, configured in region-specific compliance rules. To demonstrate compliance, the company needs to submit historical configurations on a regular basis. Which AWS service is best suited for this requirement?",C,C,AWS CloudTrail,Amazon Macie,AWS Config,Amazon GuardDuty,,,,,,,,,,
udemy,CLF-01,153,Which Amazon Simple Storage Service (Amazon S3) storage class offers the lowest availability?,C,C,Amazon S3 Standard,Amazon S3 Intelligent-Tiering,Amazon S3 One Zone-Infrequent Access (S3 One Zone-IA),Amazon S3 Glacier Flexible Retrieval,,,,,,,,,,
udemy,CLF-01,154,A customer is running a comparative study of pricing models of Amazon EFS and Amazon Elastic Block Store (Amazon EBS) that are used with the Amazon EC2 instances that host the application. Which of the following statements are correct regarding this use-case? (Select two),AB,AB,"Amazon Elastic Block Store (Amazon EBS) Snapshots are stored incrementally, which means you are billed only for the changed blocks stored",You will pay a fee each time you read from or write data stored on the Amazon Elastic File System (Amazon EFS) - Infrequent Access storage class,"With AWS Backup, you pay only for the amount of Amazon Elastic File System (Amazon EFS) backup storage you use in a month, you need not pay for restoring this data",Amazon Elastic Compute Cloud (Amazon EC2) data transfer charges will apply for all Amazon Elastic Block Store (Amazon EBS) direct APIs for Snapshots,Amazon Elastic Block Store (Amazon EBS) Snapshot storage pricing is based on the amount of space your data consumes in Amazon Elastic Block Store (Amazon EBS),,,,,,,,,
udemy,CLF-01,155,Which of the following statements is correct regarding the Amazon Elastic File System (Amazon EFS) storage service?,D,D,EC2 instances can access files on an Amazon Elastic File System (Amazon EFS) file system across many Availability Zones (AZ) and VPCs but not across Regions,EC2 instances can access files on an Amazon Elastic File System (Amazon EFS) file system only in one Availability Zone (AZ),EC2 instances can access files on an Amazon Elastic File System (Amazon EFS) file system across many Availability Zones (AZ) but not across VPCs and Regions,"EC2 instances can access files on an Amazon Elastic File System (Amazon EFS) file system across many Availability Zones (AZ), Regions and VPCs",,,,,,,,,,
udemy,CLF-01,156,"Under the AWS Shared Responsibility Model, which of the following is the responsibility of a customer regarding AWS Lambda?",C,C,Configure networking infrastructure for the AWS Lambda functions,Patch underlying OS for the AWS Lambda function infrastructure,Maintain versions of an AWS Lambda function,Maintain all runtime environments for AWS Lambda functions,,,,,,,,,,
udemy,CLF-01,157,An AWS user is trying to launch an Amazon Elastic Compute Cloud (Amazon EC2) instance in a given region. What is the region-specific constraint that the Amazon Machine Image (AMI) must meet so that it can be used for this Amazon Elastic Compute Cloud (Amazon EC2) instance?,D,D,"You can use an Amazon Machine Image (AMI) from a different region, but it degrades the performance of the Amazon EC2 instance","An Amazon Machine Image (AMI) is a global entity, so the region is not applicable","You should use an Amazon Machine Image (AMI) from the same region, as it improves the performance of the Amazon EC2 instance",You must use an Amazon Machine Image (AMI) from the same region as that of the Amazon EC2 instance. The region of the Amazon Machine Image (AMI) has no bearing on the performance of the Amazon EC2 instance,,,,,,,,,,
udemy,CLF-01,158,A development team is looking for a forum where the most frequent questions and requests from AWS customers are listed along with AWS provided solutions.Which AWS forum/service can be used for troubleshooting an issue or checking for a solution?,A,A,AWS Knowledge Center,AWS Health Dashboard - service health,AWS Marketplace,AWS Support Center,,,,,,,,,,
udemy,CLF-01,159,"A company has a static website hosted on an Amazon Simple Storage Service (Amazon S3) bucket in an AWS Region in Asia. Although most of its users are in Asia, now it wants to drive growth globally. How can it improve the global performance of its static website?",D,D,Use Amazon S3 Transfer Acceleration (Amazon S3TA) to improve the performance of your website,Use Amazon CloudFormation to improve the performance of your website,Use AWS Web Application Firewall (AWS WAF) to improve the performance of your website,Use Amazon CloudFront to improve the performance of your website,,,,,,,,,,
udemy,CLF-01,160,Which of the following is a part of the AWS Global Infrastructure?,C,C,Virtual Private Network (VPN),Virtual Private Cloud (VPC),AWS Region,Subnet,,,,,,,,,,
udemy,CLF-01,161,Which Amazon Route 53 routing policy would you use when you want to route your traffic in an active-passive configuration?,B,B,Latency-based routing,Failover routing,Simple routing,Weighted routing,,,,,,,,,,
udemy,CLF-01,162,An AWS hardware failure has impacted one of your Amazon Elastic Block Store (Amazon EBS) volumes. Which AWS service will alert you of the affected resources and provide a remedial action?,C,C,AWS Trusted Advisor,Amazon GuardDuty,AWS Health Dashboard – Your account health,AWS Config,,,,,,,,,,
udemy,CLF-01,163,A cyber-security agency uses AWS Cloud and wants to carry out security assessments on its own AWS infrastructure without any prior approval from AWS. Which of the following describes/facilitates this practice?,B,B,Amazon Inspector,Penetration Testing,Network Stress Testing,AWS Secrets Manager,,,,,,,,,,
udemy,CLF-01,164,"A startup runs its proprietary application on docker containers. As a Cloud Practitioner, which AWS service would you recommend so that the startup can run containers and still have access to the underlying servers?",C,C,AWS Fargate,AWS Lambda,Amazon Elastic Container Service (Amazon ECS),Amazon Elastic Container Registry (Amazon ECR),,,,,,,,,,
udemy,CLF-01,165,Which AWS service can be used to automate code deployment to Amazon Elastic Compute Cloud (Amazon EC2) instances as well as on-premises instances?,A,A,AWS CodeDeploy,AWS CloudFormation,AWS CodeCommit,AWS CodePipeline,,,,,,,,,,
udemy,CLF-01,166,"According to the AWS Shared Responsibility Model, which of the following are the responsibilities of the customer? (Select two)",BC,BC,Compliance validation of Cloud infrastructure,Enabling data encryption of data stored in Amazon Simple Storage Service (Amazon S3) buckets,Operating system patches and updates of an Amazon Elastic Compute Cloud (Amazon EC2) instance,AWS Global Network Security,Ensuring AWS employees cannot access customer data,,,,,,,,,
udemy,CLF-01,167,Which of the following use cases is best suited for Amazon EFS Standard-Infrequent Access (EFS Standard-IA) storage class?,D,D,Storing data in a single AWS Availability Zone (AZ),Object storage for workloads that need sub-second latency speeds for accessing the data,Use as boot volume for highly available Amazon Elastic Compute Cloud (Amazon EC2) instances,Storing files in an accessible location to satisfy audit requirements,,,,,,,,,,
udemy,CLF-01,168,"A medical device company is looking for a durable and cost-effective way of storing their historic data. Due to compliance requirements, the data must be stored for 10 years. Which AWS Storage solution will you suggest?",B,B,Amazon S3 Glacier Flexible Retrieval,Amazon S3 Glacier Deep Archive,AWS Storage Gateway,Amazon Elastic File System (Amazon EFS),,,,,,,,,,
udemy,CLF-01,169,"A leading research firm needs to access information available in old patents and documents (such as PDFs, Text Files, Word documents, etc) present in its huge knowledge base. The firm is looking for a powerful search tool that can dig into these knowledge resources and return the most relevant files/documents. Which of the following is the correct service to address this requirement?",A,A,Amazon Kendra,Amazon Lex,Amazon Comprehend,Amazon Personalize,,,,,,,,,,
udemy,CLF-01,170,"A financial services company must meet compliance requirements that mandate storing multiple copies of data in geographically distant locations. As the company uses Amazon Simple Storage Service (Amazon S3) as its main storage service, which of the following represents the MOST resource-efficient solution for this use-case?",A,A,Use S3 cross-region replication (S3 CRR) to replicate data between distant AWS Regions,"For every new object, trigger an AWS Lambda function to write data into a bucket in another AWS Region",Run a daily job on an Amazon Elastic Compute Cloud (Amazon EC2) instance to copy objects into another Region,Use S3 same-region replication (S3 SRR) to replicate data between distant AWS Regions,,,,,,,,,,
udemy,CLF-01,171,Which AWS service protects your AWS account by monitoring malicious activity and detecting threats?,B,B,AWS Trusted Advisor,Amazon GuardDuty,AWS CloudTrail,Amazon CloudWatch,,,,,,,,,,
udemy,CLF-01,172,Which of the following AWS services have data encryption automatically enabled? (Select two)?,BE,BE,Amazon Redshift,AWS Storage Gateway,Amazon Elastic Block Store (Amazon EBS),Amazon Elastic File System (Amazon EFS),Amazon Simple Storage Service (Amazon S3),,,,,,,,,
udemy,CLF-01,173,Which AWS service can be used for online analytical processing?,D,D,Amazon ElastiCache,Amazon DynamoDB,Amazon Relational Database Service (Amazon RDS),Amazon Redshift,,,,,,,,,,
udemy,CLF-01,174,Which of the following is correct regarding the AWS Shield Advanced pricing?,A,A,AWS Shield Advanced offers protection against higher fees that could result from a DDoS attack,AWS Shield Advanced is a free service for AWS Business Support plan,AWS Shield Advanced is a free service for all AWS Support plans,AWS Shield Advanced is a free service for AWS Enterprise Support plan,,,,,,,,,,
udemy,CLF-01,175,"A financial services enterprise plans to enable Multi-Factor Authentication (MFA) for its employees. For ease of travel, they prefer not to use any physical devices to implement Multi-Factor Authentication (MFA). Which of the below options is best suited for this use case?",D,D,Soft Token Multi-Factor Authentication (MFA) device,Hardware Multi-Factor Authentication (MFA) device,U2F security key,Virtual Multi-Factor Authentication (MFA) device,,,,,,,,,,
udemy,CLF-01,176,Which AWS service can help you create data-driven business cases for transitioning your business from on-premises to AWS Cloud?,A,A,AWS Migration Evaluator,AWS Trusted Advisor,AWS Billing and Cost Management,AWS Budgets,,,,,,,,,,
